Vg,Vd,Id
0.01,0.01,8.81732e-11
0.02,0.01,1.28639e-10
0.03,0.01,1.87668e-10
0.04,0.01,2.73769e-10
0.05,0.01,3.99339e-10
0.06,0.01,5.82436e-10
0.07,0.01,8.49334e-10
0.08,0.01,1.2382e-09
0.09,0.01,1.8045e-09
0.1,0.01,2.6284e-09
0.11,0.01,3.8254e-09
0.12,0.01,5.5612e-09
0.13,0.01,8.0716e-09
0.14,0.01,1.16879e-08
0.15,0.01,1.68683e-08
0.16,0.01,2.42311e-08
0.17,0.01,3.45824e-08
0.18,0.01,4.89222e-08
0.19,0.01,6.84053e-08
0.2,0.01,9.42329e-08
0.21,0.01,1.27466e-07
0.22,0.01,1.68796e-07
0.23,0.01,2.1834e-07
0.24,0.01,2.75574e-07
0.25,0.01,3.39415e-07
0.26,0.01,4.08439e-07
0.27,0.01,4.81121e-07
0.28,0.01,5.56031e-07
0.29,0.01,6.31947e-07
0.3,0.01,7.07884e-07
0.31,0.01,7.83088e-07
0.32,0.01,8.57e-07
0.33,0.01,9.29213e-07
0.34,0.01,9.99442e-07
0.35,0.01,1.0675e-06
0.36,0.01,1.1332e-06
0.37,0.01,1.1966e-06
0.38,0.01,1.2575e-06
0.39,0.01,1.316e-06
0.4,0.01,1.3721e-06
0.41,0.01,1.4258e-06
0.42,0.01,1.4772e-06
0.43,0.01,1.5263e-06
0.44,0.01,1.5732e-06
0.45,0.01,1.618e-06
0.46,0.01,1.6607e-06
0.47,0.01,1.7015e-06
0.48,0.01,1.7404e-06
0.49,0.01,1.7775e-06
0.5,0.01,1.8129e-06
0.51,0.01,1.8466e-06
0.52,0.01,1.8788e-06
0.53,0.01,1.9095e-06
0.54,0.01,1.9389e-06
0.55,0.01,1.9668e-06
0.56,0.01,1.9936e-06
0.57,0.01,2.0191e-06
0.58,0.01,2.0435e-06
0.59,0.01,2.0668e-06
0.6,0.01,2.089e-06
0.61,0.01,2.1104e-06
0.62,0.01,2.1307e-06
0.63,0.01,2.1503e-06
0.64,0.01,2.1689e-06
0.65,0.01,2.1868e-06
0.66,0.01,2.204e-06
0.67,0.01,2.2204e-06
0.68,0.01,2.2362e-06
0.69,0.01,2.2514e-06
0.7,0.01,2.2659e-06
0.71,0.01,2.2799e-06
0.72,0.01,2.2933e-06
0.73,0.01,2.3061e-06
0.74,0.01,2.3185e-06
0.75,0.01,2.3305e-06
0.76,0.01,2.3419e-06
0.77,0.01,2.353e-06
0.78,0.01,2.3636e-06
0.79,0.01,2.3738e-06
0.8,0.01,2.3837e-06
0.01,0.02,1.48646e-10
0.02,0.02,2.16862e-10
0.03,0.02,3.16373e-10
0.04,0.02,4.61524e-10
0.05,0.02,6.73223e-10
0.06,0.02,9.81923e-10
0.07,0.02,1.432e-09
0.08,0.02,2.0878e-09
0.09,0.02,3.043e-09
0.1,0.02,4.4332e-09
0.11,0.02,6.454e-09
0.12,0.02,9.3869e-09
0.13,0.02,1.3633e-08
0.14,0.02,1.97594e-08
0.15,0.02,2.85555e-08
0.16,0.02,4.10976e-08
0.17,0.02,5.88101e-08
0.18,0.02,8.34989e-08
0.19,0.02,1.17319e-07
0.2,0.02,1.62627e-07
0.21,0.02,2.21686e-07
0.22,0.02,2.96244e-07
0.23,0.02,3.87104e-07
0.24,0.02,4.93847e-07
0.25,0.02,6.14847e-07
0.26,0.02,7.47579e-07
0.27,0.02,8.89082e-07
0.28,0.02,1.0364e-06
0.29,0.02,1.1869e-06
0.3,0.02,1.3383e-06
0.31,0.02,1.4891e-06
0.32,0.02,1.6377e-06
0.33,0.02,1.7834e-06
0.34,0.02,1.9254e-06
0.35,0.02,2.0632e-06
0.36,0.02,2.1966e-06
0.37,0.02,2.3253e-06
0.38,0.02,2.4492e-06
0.39,0.02,2.5683e-06
0.4,0.02,2.6826e-06
0.41,0.02,2.7921e-06
0.42,0.02,2.8969e-06
0.43,0.02,2.9972e-06
0.44,0.02,3.093e-06
0.45,0.02,3.1846e-06
0.46,0.02,3.272e-06
0.47,0.02,3.3554e-06
0.48,0.02,3.435e-06
0.49,0.02,3.5109e-06
0.5,0.02,3.5834e-06
0.51,0.02,3.6525e-06
0.52,0.02,3.7184e-06
0.53,0.02,3.7813e-06
0.54,0.02,3.8414e-06
0.55,0.02,3.8987e-06
0.56,0.02,3.9534e-06
0.57,0.02,4.0057e-06
0.58,0.02,4.0556e-06
0.59,0.02,4.1034e-06
0.6,0.02,4.149e-06
0.61,0.02,4.1926e-06
0.62,0.02,4.2344e-06
0.63,0.02,4.2743e-06
0.64,0.02,4.3126e-06
0.65,0.02,4.3492e-06
0.66,0.02,4.3843e-06
0.67,0.02,4.418e-06
0.68,0.02,4.4503e-06
0.69,0.02,4.4812e-06
0.7,0.02,4.511e-06
0.71,0.02,4.5395e-06
0.72,0.02,4.5669e-06
0.73,0.02,4.5933e-06
0.74,0.02,4.6186e-06
0.75,0.02,4.6429e-06
0.76,0.02,4.6664e-06
0.77,0.02,4.6889e-06
0.78,0.02,4.7106e-06
0.79,0.02,4.7315e-06
0.8,0.02,4.7516e-06
0.01,0.03,1.89992e-10
0.02,0.03,2.77175e-10
0.03,0.03,4.04354e-10
0.04,0.03,5.89861e-10
0.05,0.03,8.60417e-10
0.06,0.03,1.255e-09
0.07,0.03,1.8302e-09
0.08,0.03,2.6685e-09
0.09,0.03,3.8896e-09
0.1,0.03,5.6672e-09
0.11,0.03,8.2522e-09
0.12,0.03,1.20055e-08
0.13,0.03,1.74436e-08
0.14,0.03,2.52983e-08
0.15,0.03,3.65935e-08
0.16,0.03,5.27354e-08
0.17,0.03,7.56043e-08
0.18,0.03,1.07622e-07
0.19,0.03,1.51748e-07
0.2,0.03,2.11336e-07
0.21,0.03,2.89803e-07
0.22,0.03,3.90097e-07
0.23,0.03,5.14075e-07
0.24,0.03,6.61987e-07
0.25,0.03,8.32291e-07
0.26,0.03,1.0219e-06
0.27,0.03,1.2267e-06
0.28,0.03,1.4423e-06
0.29,0.03,1.6646e-06
0.3,0.03,1.89e-06
0.31,0.03,2.1154e-06
0.32,0.03,2.3388e-06
0.33,0.03,2.5584e-06
0.34,0.03,2.773e-06
0.35,0.03,2.9818e-06
0.36,0.03,3.1842e-06
0.37,0.03,3.3798e-06
0.38,0.03,3.5684e-06
0.39,0.03,3.7499e-06
0.4,0.03,3.9242e-06
0.41,0.03,4.0914e-06
0.42,0.03,4.2516e-06
0.43,0.03,4.4049e-06
0.44,0.03,4.5516e-06
0.45,0.03,4.6917e-06
0.46,0.03,4.8256e-06
0.47,0.03,4.9535e-06
0.48,0.03,5.0756e-06
0.49,0.03,5.1921e-06
0.5,0.03,5.3033e-06
0.51,0.03,5.4094e-06
