Vg,Vd,Id_actual,Id_predicted
0.2,0.24,3.79754e-07,3.763775475817965e-07
0.39,0.41,1.4352e-05,1.4347484102472663e-05
0.6,0.65,4.42032e-05,4.441864912223537e-05
0.07,0.34,3.6107e-09,3.593485633501814e-09
0.77,0.71,6.52851e-05,6.557977023476269e-05
0.6,0.77,4.51733e-05,4.5095160312484954e-05
0.6,0.58,4.35153e-05,4.3624274258036164e-05
0.38,0.78,1.44794e-05,1.4530732005368919e-05
0.72,0.06,1.33383e-05,1.3268487236928195e-05
0.44,0.58,2.15809e-05,2.1673136943718417e-05
0.5,0.43,2.86492e-05,2.8637780051212758e-05
0.7,0.73,5.78268e-05,5.801690494990908e-05
0.17,0.53,1.678e-07,1.6699770299055673e-07
0.44,0.76,2.23896e-05,2.244383933430072e-05
0.45,0.73,2.36498e-05,2.3736472794553265e-05
0.17,0.12,1.18318e-07,1.1717904726538108e-07
0.35,0.61,1.03825e-05,1.0432603994559031e-05
0.12,0.04,1.37995e-08,1.3817696071782848e-08
0.1,0.16,9.2806e-09,9.24251708056545e-09
0.09,0.42,8.1915e-09,8.123009571647798e-09
0.2,0.74,5.32144e-07,5.33457043729868e-07
0.07,0.76,5.2301e-09,5.251187324972762e-09
0.63,0.37,4.31906e-05,4.31516512617236e-05
0.09,0.15,6.2996e-09,6.271229935350675e-09
0.53,0.38,3.18966e-05,3.187676004017703e-05
0.52,0.47,3.16994e-05,3.169774718116969e-05
0.04,0.66,1.5831e-09,1.5854805734960566e-09
0.58,0.01,2.0435e-06,2.085659943986684e-06
0.49,0.46,2.75897e-05,2.7597771913860925e-05
0.24,0.34,1.3596e-06,1.3591038532467794e-06
0.38,0.8,1.45428e-05,1.4566120808012785e-05
0.53,0.04,7.3797e-06,7.416644948534668e-06
0.23,0.15,8.95601e-07,9.019683602673467e-07
0.66,0.34,4.48625e-05,4.496117646340281e-05
0.54,0.51,3.47737e-05,3.4809267890523185e-05
0.51,0.15,2.09361e-05,2.079102487186901e-05
0.3,0.57,5.3117e-06,5.317127206581062e-06
0.19,0.45,3.16815e-07,3.1686701902344793e-07
0.21,0.26,5.34389e-07,5.313856081556878e-07
0.09,0.47,8.5582e-09,8.488243281590258e-09
0.36,0.32,1.0503e-05,1.05329230427742e-05
0.47,0.14,1.75337e-05,1.7339900077786298e-05
0.43,0.43,1.94579e-05,1.9460665753285867e-05
0.53,0.15,2.2158e-05,2.2038206225261092e-05
0.43,0.26,1.79928e-05,1.8081900489050895e-05
0.47,0.64,2.60055e-05,2.6143314316868784e-05
0.56,0.45,3.67266e-05,3.665524782263674e-05
0.31,0.47,5.9765e-06,5.964828533251421e-06
0.59,0.76,4.37092e-05,4.367601577541791e-05
0.59,0.27,3.51267e-05,3.5267266212031246e-05
0.21,0.67,6.97491e-07,6.983253274484014e-07
0.79,0.42,5.90428e-05,5.91444261954166e-05
0.56,0.64,3.86323e-05,3.883654484525323e-05
0.54,0.08,1.40914e-05,1.4010072918608785e-05
0.64,0.26,3.85398e-05,3.876242466503754e-05
0.18,0.31,2.02334e-07,2.025097461455516e-07
0.41,0.43,1.69131e-05,1.6911782549868802e-05
0.66,0.59,5.12676e-05,5.127093536430038e-05
0.03,0.73,1.1649e-09,1.152134071480404e-09
0.26,0.07,1.6266e-06,1.6203771156142468e-06
0.54,0.79,3.68034e-05,3.664480322186137e-05
0.33,0.04,3.2509e-06,3.243032260797918e-06
0.33,0.31,7.4025e-06,7.414796218654374e-06
