Vg,Vd,Id
0.01,0.01,3.74441e-11
0.02,0.01,5.17274e-11
0.03,0.01,7.14585e-11
0.04,0.01,9.87143e-11
0.05,0.01,1.36363e-10
0.06,0.01,1.88365e-10
0.07,0.01,2.60187e-10
0.08,0.01,3.59375e-10
0.09,0.01,4.96335e-10
0.1,0.01,6.85417e-10
0.11,0.01,9.46391e-10
0.12,0.01,1.3065e-09
0.13,0.01,1.803e-09
0.14,0.01,2.4873e-09
0.15,0.01,3.4295e-09
0.16,0.01,4.7251e-09
0.17,0.01,6.5036e-09
0.18,0.01,8.9392e-09
0.19,0.01,1.22641e-08
0.2,0.01,1.67831e-08
0.21,0.01,2.28898e-08
0.22,0.01,3.10791e-08
0.23,0.01,4.19525e-08
0.24,0.01,5.62077e-08
0.25,0.01,7.46038e-08
0.26,0.01,9.78963e-08
0.27,0.01,1.26744e-07
0.28,0.01,1.61603e-07
0.29,0.01,2.02642e-07
0.3,0.01,2.49695e-07
0.31,0.01,3.02284e-07
0.32,0.01,3.59692e-07
0.33,0.01,4.21055e-07
0.34,0.01,4.85455e-07
0.35,0.01,5.51992e-07
0.36,0.01,6.19835e-07
0.37,0.01,6.88245e-07
0.38,0.01,7.56596e-07
0.39,0.01,8.24378e-07
0.4,0.01,8.91189e-07
0.41,0.01,9.56731e-07
0.42,0.01,1.0208e-06
0.43,0.01,1.0832e-06
0.44,0.01,1.1439e-06
0.45,0.01,1.2029e-06
0.46,0.01,1.2601e-06
0.47,0.01,1.3155e-06
0.48,0.01,1.3691e-06
0.49,0.01,1.421e-06
0.5,0.01,1.4711e-06
0.51,0.01,1.5196e-06
0.52,0.01,1.5663e-06
0.53,0.01,1.6115e-06
0.54,0.01,1.655e-06
0.55,0.01,1.6969e-06
0.56,0.01,1.7374e-06
0.57,0.01,1.7763e-06
0.58,0.01,1.8139e-06
0.59,0.01,1.85e-06
0.6,0.01,1.8848e-06
0.61,0.01,1.9184e-06
0.62,0.01,1.9507e-06
0.63,0.01,1.9818e-06
0.64,0.01,2.0117e-06
0.65,0.01,2.0406e-06
0.66,0.01,2.0684e-06
0.67,0.01,2.0952e-06
0.68,0.01,2.121e-06
